TeamId,TeamName,LeagueId
t01,Arsenal,L01
t02,Man City,L01
t03,Spurs,L01
t04,Crystal Palace,L01
t05,Man Utd,L01
t06,Watford,L01
t07,Liverpool,L01
t08,Everton,L01
t09,West Ham,L01
t10,Stoke,L01
t11,Southampton,L01
t12,West Brom,L01
t13,Bournemouth,L01
t14,Chelsea,L01
t15,Swansea,L01
t16,Norwich,L01
t17,Athletic Bilbao,L02
t18,Atlético Madrid,L02
t19,Barcelona,L02
t20,Betis,L02
t21,Celta Vigo,L02
t22,Deportivo La Coruña,L02
t23,Eibar,L02
t24,Espanyol,L02
t25,Getafe,L02
t26,Granada,L02
t27,Las Palmas,L02
t28,Levante,L02
t29,Málaga,L02
t30,Rayo Vallecano,L02
t31,Real Madrid,L02
t32,Real Sociedad,L02
t33,Sevilla,L02
t34,Sporting de Gijón,L02
t35,Valencia,L02
t36,Villarreal,L02
